Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Abdu Conté;POR;DF;Troyes;Ligue 1;24;1998;9.2;0.5;0.98;0;2.28
Andrea Conti;ITA;DF;Sampdoria;Serie A;28;1994;0.3;0;0;0;0
Lewis Cook;ENG;MF;Bournemouth;Premier League;26;1997;16.5;0;1.27;0;3.21
Steve Cook;ENG;DF;Nott'ham Forest;Premier League;31;1991;10.6;0;0.28;0;1.89
Liam Cooper;SCO;DF;Leeds United;Premier League;31;1991;12.3;0.11;0.33;0;4.23
Copete;ESP;DF;Mallorca;La Liga;23;1999;14.3;0;0.14;0;3.99
Diego Coppola;ITA;DF;Hellas Verona;Serie A;19;2003;6.9;0;0;0;3.04
Francis Coquelin;FRA;MF;Villarreal;La Liga;31;1991;7.9;0.17;0.76;0;3.29
Sébastien Corchia;FRA;DFMF;Nantes;Ligue 1;32;1990;5.8;0;0.86;0;3.1
Maxwel Cornet;CIV;FW;West Ham;Premier League;26;1996;1;0;0;0;4
Jesús Corona;MEX;FW;Sevilla;La Liga;30;1993;0.7;0;1.43;0;1.43
Ángel Correa;ARG;MFFW;Atlético Madrid;La Liga;27;1995;9.1;0.17;1.65;0.33;1.54
Joaquín Correa;ARG;FW;Inter;Serie A;28;1994;4.8;0.33;1.04;0;1.46
Thierry Correia;POR;DF;Valencia;La Liga;23;1999;15.4;0;0.52;0.06;3.77
Alessandro Cortinovis;ITA;MF;Hellas Verona;Serie A;22;2001;0.1;0;0;0;10
Danny da Costa;GER;DF;Mainz 05;Bundesliga;29;1993;6.8;0;0.44;0;2.21
David Pereira da Costa;POR;MFFW;Lens;Ligue 1;22;2001;13.7;0.04;1.75;0.44;1.68
Diego Costa;ESP;FW;Wolves;Premier League;34;1988;7.2;0;0.69;0.28;0.56
Jaume Costa;ESP;DF;Mallorca;La Liga;34;1988;16.4;0;1.1;0;2.07
Logan Costa;CPV;DF;Toulouse;Ligue 1;21;2001;0.5;0;0;0;2
Nuno da Costa;CPV;FWMF;Auxerre;Ligue 1;32;1991;12.8;0.11;1.02;0.39;3.2
Samu Costa;POR;MF;Almería;La Liga;22;2000;12.7;0.11;0.55;0;5.04
Benoît Costil;FRA;GK;Auxerre;Ligue 1;35;1987;19;0;0;0;0.11
Vladimír Coufal;CZE;DF;West Ham;Premier League;30;1992;14.3;0;0.98;0;3.99
Lassana Coulibaly;MLI;MF;Salernitana;Serie A;26;1996;17.5;0.13;0.63;0.06;3.54
Tanguy Coulibaly;FRA;DFFW;Stuttgart;Bundesliga;21;2001;0.4;0;0;0;10
Thibaut Courtois;BEL;GK;Real Madrid;La Liga;30;1992;15;0;0.07;0;0.07
Mathieu Coutadeur;FRA;MF;Ajaccio;Ligue 1;36;1986;10.9;0;0.73;0.09;2.02
Philippe Coutinho;BRA;MFFW;Aston Villa;Premier League;30;1992;7.9;0;0.89;0.38;2.03
Yan Couto;BRA;DFMF;Girona;La Liga;20;2002;7.6;0;1.18;0.66;3.03
Conor Coventry;IRL;MFFW;West Ham;Premier League;22;2000;0;0;0;0;0
Nicolas Cozza;FRA;DF;Montpellier;Ligue 1;24;1999;14.2;0.29;0.49;0.07;4.15
Aaron Cresswell;ENG;DF;West Ham;Premier League;33;1989;17;0;1.76;0;2
Bryan Cristante;ITA;MF;Roma;Serie A;27;1995;20.4;0.06;0.44;0;3.97
Juan Cruz Armada;ESP;DF;Osasuna;La Liga;30;1992;14;0;0.79;0;1.86
Juan Cruz;ESP;FW;Betis;La Liga;22;2000;1.9;0.2;1.05;0;0.53
Juan Cuadrado;COL;DFFW;Juventus;Serie A;34;1988;11.8;0;2.29;0.17;3.64
Marc Cucurella;ESP;DF;Chelsea;Premier League;24;1998;14.9;0;0.54;0;4.03
Jorge Cuenca;ESP;DF;Villarreal;La Liga;23;1999;4;0;0.25;0;2.75
Braian Cufré;ARG;DF;Mallorca;La Liga;26;1996;2.4;0;0.42;0;2.92
